Date;Heure;Score;Score max;Essai;;;;;;;;;;;;MOY score;Entendu score;temps jeu;Nombre essai;Temps moyen essai (secondes) 
23/07/2023;00:07:55;17;109;189;;;;;;;;;;;;;;;;
23/07/2023;00:07:57;73;109;190;;;;;;;;;;;;;;;;
23/07/2023;00:07:57;24;109;191;;;;;;;;;;;;;;;;
23/07/2023;00:08:01;82;109;192;;;;;;;;;;;;;;;;
23/07/2023;00:08:02;53;109;193;;;;;;;;;;;;;;;;
23/07/2023;00:08:04;48;109;194;;;;;;;;;;;;;;;;
23/07/2023;00:08:06;64;109;195;;;;;;;;;;;;;;;;
23/07/2023;00:08:08;63;109;196;;;;;;;;;;;;;;;;
23/07/2023;00:08:10;80;109;197;;;;;;;;;;;;;;;;
23/07/2023;00:08:14;92;109;198;;;;;;;;;;;;;;;;
23/07/2023;00:08:15;45;109;199;;;;;;;;;;;;;;;;
23/07/2023;00:08:17;74;109;200;;;;;;;;;;;;;;;;
23/07/2023;00:08:17;6;109;201;;;;;;;;;;;;;;;;
23/07/2023;00:08:21;98;109;202;;;;;;;;;;;;;;;;
23/07/2023;00:08:24;85;109;203;;;;;;;;;;;;;;;;
23/07/2023;00:08:25;48;109;204;;;;;;;;;;;;;;;;
23/07/2023;00:08:28;85;109;205;;;;;;;;;;;;;;;;
23/07/2023;00:08:30;54;109;206;;;;;;;;;;;;;;;;
23/07/2023;00:08:33;90;109;207;;;;;;;;;;;;;;;;
23/07/2023;00:08:36;84;109;208;;;;;;;;;;;;;;;;
23/07/2023;00:08:38;75;109;209;;;;;;;;;;;;;;;;
23/07/2023;00:08:40;76;109;210;;;;;;;;;;;;;;;;
23/07/2023;00:08:41;39;109;211;;;;;;;;;;;;;;;;
23/07/2023;00:08:44;70;109;212;;;;;;;;;;;;;;;;
23/07/2023;00:08:45;69;109;213;;;;;;;;;;;;;;;;
23/07/2023;00:08:48;80;109;214;;;;;;;;;;;;;;;;
